simulationId,archetypeId,profileId,timelineKey,weeks,totalCompletionCount,avgAdherenceClamped,statOverallPct,rankOverallRank,rankOverallLp,rankOverallProgressValue,currentWeekShare,mappedHabitCount,unmappedHabitCount
A03_P33_48m,A03,P33,48m,192,1152,0.8571428571428591,7,Emerald IV,40,2140,0.0052,1,0
A03_P34_1m,A03,P34,1m,4,48,0.7999999999999999,1,Unranked,54,54,0.2500,3,0
A03_P34_3m,A03,P34,3m,12,144,0.8000000000000004,3,Bronze I,41,841,0.0833,3,0
A03_P34_6m,A03,P34,6m,24,288,0.799999999999999,5,Silver I,12,1212,0.0417,3,0
A03_P34_12m,A03,P34,12m,48,576,0.799999999999998,9,Gold IV,93,1393,0.0208,3,0
A03_P34_24m,A03,P34,24m,96,1152,0.8000000000000038,15,Gold I,95,1695,0.0104,3,0
A03_P34_48m,A03,P34,48m,192,2304,0.8000000000000076,24,Platinum II,98,1998,0.0052,3,0
A03_P35_1m,A03,P35,1m,4,28,1,1,Iron II,0,300,0.2500,3,0
A03_P35_3m,A03,P35,3m,12,84,1,2,Silver II,45,1145,0.0833,3,0
A03_P35_6m,A03,P35,6m,24,168,1,3,Gold II,7,1507,0.0417,3,0
A03_P35_12m,A03,P35,12m,48,336,1,6,Gold I,92,1692,0.0208,3,0
A03_P35_24m,A03,P35,24m,96,672,1,9,Emerald IV,92,2192,0.0104,3,0
A03_P35_48m,A03,P35,48m,192,1344,1,16,Diamond II,96,2796,0.0052,3,0
A03_P36_1m,A03,P36,1m,4,144,0.83265306122449,3,Unranked,61,61,0.2500,7,0
A03_P36_3m,A03,P36,3m,12,432,0.8326530612244885,8,Bronze I,42,842,0.0833,7,0
A03_P36_6m,A03,P36,6m,24,864,0.832653061224489,14,Silver I,89,1289,0.0417,7,0
A03_P36_12m,A03,P36,12m,48,1728,0.8326530612244958,22,Gold II,13,1513,0.0208,7,0
A03_P36_24m,A03,P36,24m,96,3456,0.8326530612244883,34,Platinum IV,77,1777,0.0104,7,0
A03_P36_48m,A03,P36,48m,192,6912,0.8326530612244695,48,Platinum I,79,2079,0.0052,7,0
A03_P37_1m,A03,P37,1m,4,356,0.8728571428571422,8,Iron IV,20,120,0.2500,20,0
A03_P37_3m,A03,P37,3m,12,1068,0.8728571428571446,20,Silver IV,18,918,0.0833,20,0
A03_P37_6m,A03,P37,6m,24,2136,0.8728571428571439,32,Gold IV,40,1340,0.0417,20,0
A03_P37_12m,A03,P37,12m,48,4272,0.8728571428571411,48,Gold II,52,1552,0.0208,20,0
A03_P37_24m,A03,P37,24m,96,8544,0.8728571428571331,66,Platinum III,77,1877,0.0104,20,0
A03_P37_48m,A03,P37,48m,192,17088,0.8728571428571378,82,Emerald III,54,2254,0.0052,20,0
A03_P38_1m,A03,P38,1m,4,64,0.9142857142857145,1,Iron IV,80,180,0.2500,4,0
A03_P38_3m,A03,P38,3m,12,192,0.9142857142857138,3,Silver IV,94,994,0.0833,4,0
A03_P38_6m,A03,P38,6m,24,384,0.9142857142857129,6,Gold IV,93,1393,0.0417,4,0
A03_P38_12m,A03,P38,12m,48,768,0.9142857142857181,10,Gold II,95,1595,0.0208,4,0
A03_P38_24m,A03,P38,24m,96,1536,0.9142857142857167,17,Platinum II,79,1979,0.0104,4,0
A03_P38_48m,A03,P38,48m,192,3072,0.9142857142856997,29,Emerald I,32,2432,0.0052,4,0
A03_P39_1m,A03,P39,1m,4,204,0.8979591836734696,5,Iron IV,62,162,0.2500,14,0
A03_P39_3m,A03,P39,3m,12,612,0.8979591836734686,12,Silver IV,72,972,0.0833,14,0
A03_P39_6m,A03,P39,6m,24,1224,0.8979591836734725,20,Gold IV,68,1368,0.0417,14,0
A03_P39_12m,A03,P39,12m,48,2448,0.8979591836734705,32,Gold II,66,1566,0.0208,14,0
A03_P39_24m,A03,P39,24m,96,4896,0.8979591836734587,45,Platinum II,39,1939,0.0104,14,0
A03_P39_48m,A03,P39,48m,192,9792,0.8979591836734674,60,Emerald II,70,2370,0.0052,14,0
A04_P00_1m,A04,P00,1m,4,4,0.3333333333333333,0,Unranked,0,0,0.2500,1,0
A04_P00_3m,A04,P00,3m,12,12,0.33333333333333337,0,Unranked,89,89,0.0833,1,0
A04_P00_6m,A04,P00,6m,24,24,0.3333333333333332,0,Iron IV,72,172,0.0417,1,0
A04_P00_12m,A04,P00,12m,48,48,0.33333333333333354,1,Iron III,62,262,0.0208,1,0
A04_P00_24m,A04,P00,24m,96,96,0.33333333333333287,1,Iron I,64,464,0.0104,1,0
A04_P00_48m,A04,P00,48m,192,192,0.33333333333333426,3,Bronze III,65,665,0.0052,1,0
A04_P01_1m,A04,P01,1m,4,12,0.36666666666666664,0,Unranked,39,39,0.2500,2,0
A04_P01_3m,A04,P01,3m,12,36,0.3666666666666668,1,Iron IV,40,140,0.0833,2,0
A04_P01_6m,A04,P01,6m,24,72,0.3666666666666667,1,Iron III,25,225,0.0417,2,0
A04_P01_12m,A04,P01,12m,48,144,0.3666666666666661,2,Iron II,28,328,0.0208,2,0
A04_P01_24m,A04,P01,24m,96,288,0.36666666666666625,4,Bronze IV,80,580,0.0104,2,0
A04_P01_48m,A04,P01,48m,192,576,0.3666666666666699,8,Bronze II,81,781,0.0052,2,0
A04_P02_1m,A04,P02,1m,4,24,0.38730158730158726,1,Unranked,52,52,0.2500,3,0
A04_P02_3m,A04,P02,3m,12,72,0.3873015873015875,2,Iron IV,74,174,0.0833,3,0
A04_P02_6m,A04,P02,6m,24,144,0.38730158730158676,3,Iron III,69,269,0.0417,3,0
A04_P02_12m,A04,P02,12m,48,288,0.38730158730158665,5,Iron II,69,369,0.0208,3,0
A04_P02_24m,A04,P02,24m,96,576,0.3873015873015897,8,Bronze III,37,637,0.0104,3,0
A04_P02_48m,A04,P02,48m,192,1152,0.3873015873015892,14,Bronze I,39,839,0.0052,3,0
A04_P03_1m,A04,P03,1m,4,28,0.3738095238095238,1,Unranked,39,39,0.2500,4,0
A04_P03_3m,A04,P03,3m,12,84,0.37380952380952387,2,Iron IV,53,153,0.0833,4,0
A04_P03_6m,A04,P03,6m,24,168,0.3738095238095232,3,Iron III,45,245,0.0417,4,0
A04_P03_12m,A04,P03,12m,48,336,0.37380952380952426,6,Iron II,43,343,0.0208,4,0
A04_P03_24m,A04,P03,24m,96,672,0.3738095238095262,10,Bronze IV,94,594,0.0104,4,0
A04_P03_48m,A04,P03,48m,192,1344,0.37380952380951854,17,Bronze II,96,796,0.0052,4,0
A04_P04_1m,A04,P04,1m,4,36,0.41238095238095246,1,Unranked,53,53,0.2500,5,0
A04_P04_3m,A04,P04,3m,12,108,0.4123809523809522,2,Iron IV,98,198,0.0833,5,0
A04_P04_6m,A04,P04,6m,24,216,0.4123809523809518,4,Iron II,14,314,0.0417,5,0
A04_P04_12m,A04,P04,12m,48,432,0.4123809523809531,7,Iron I,39,439,0.0208,5,0
A04_P04_24m,A04,P04,24m,96,864,0.41238095238095496,12,Bronze II,1,701,0.0104,5,0
A04_P04_48m,A04,P04,48m,192,1728,0.412380952380949,21,Silver IV,23,923,0.0052,5,0
A04_P05_1m,A04,P05,1m,4,48,0.38095238095238104,1,Unranked,38,38,0.2500,6,0
A04_P05_3m,A04,P05,3m,12,144,0.38095238095238054,3,Iron IV,66,166,0.0833,6,0
A04_P05_6m,A04,P05,6m,24,288,0.3809523809523814,6,Iron III,64,264,0.0417,6,0
A04_P05_12m,A04,P05,12m,48,576,0.380952380952382,9,Iron II,57,357,0.0208,6,0
A04_P05_24m,A04,P05,24m,96,1152,0.3809523809523773,15,Bronze III,8,608,0.0104,6,0
A04_P05_48m,A04,P05,48m,192,2304,0.38095238095238404,25,Bronze I,10,810,0.0052,6,0
A04_P06_1m,A04,P06,1m,4,72,0.39285714285714296,2,Unranked,48,48,0.2500,8,0
A04_P06_3m,A04,P06,3m,12,216,0.3928571428571424,4,Iron IV,85,185,0.0833,8,0
A04_P06_6m,A04,P06,6m,24,432,0.3928571428571437,7,Iron III,86,286,0.0417,8,0
A04_P06_12m,A04,P06,12m,48,864,0.39285714285714235,13,Iron II,81,381,0.0208,8,0
A04_P06_24m,A04,P06,24m,96,1728,0.3928571428571408,20,Bronze III,44,644,0.0104,8,0
A04_P06_48m,A04,P06,48m,192,3456,0.39285714285714923,32,Bronze I,46,846,0.0052,8,0
A04_P07_1m,A04,P07,1m,4,88,0.3942857142857144,2,Unranked,54,54,0.2500,10,0
A04_P07_3m,A04,P07,3m,12,264,0.3942857142857137,5,Iron IV,87,187,0.0833,10,0
A04_P07_6m,A04,P07,6m,24,528,0.39428571428571607,9,Iron III,85,285,0.0417,10,0
A04_P07_12m,A04,P07,12m,48,1056,0.394285714285715,15,Iron II,83,383,0.0208,10,0
A04_P07_24m,A04,P07,24m,96,2112,0.39428571428570813,25,Bronze III,55,655,0.0104,10,0
A04_P07_48m,A04,P07,48m,192,4224,0.39428571428571485,40,Bronze I,56,856,0.0052,10,0
A04_P08_1m,A04,P08,1m,4,104,0.3952380952380954,2,Unranked,58,58,0.2500,12,0
A04_P08_3m,A04,P08,3m,12,312,0.3952380952380945,6,Iron IV,87,187,0.0833,12,0
A04_P08_6m,A04,P08,6m,24,624,0.39523809523809766,11,Iron III,84,284,0.0417,12,0
A04_P08_12m,A04,P08,12m,48,1248,0.3952380952380968,18,Iron II,85,385,0.0208,12,0
A04_P08_24m,A04,P08,24m,96,2496,0.3952380952380863,29,Bronze III,61,661,0.0104,12,0
A04_P08_48m,A04,P08,48m,192,4992,0.3952380952380919,46,Bronze I,63,863,0.0052,12,0
A04_P09_1m,A04,P09,1m,4,124,0.4114285714285715,3,Unranked,56,56,0.2500,15,0
A04_P09_3m,A04,P09,3m,12,372,0.4114285714285709,8,Iron III,3,203,0.0833,15,0
A04_P09_6m,A04,P09,6m,24,744,0.4114285714285726,13,Iron II,15,315,0.0417,15,0
A04_P09_12m,A04,P09,12m,48,1488,0.4114285714285738,21,Iron I,31,431,0.0208,15,0
A04_P09_24m,A04,P09,24m,96,2976,0.4114285714285654,33,Bronze III,99,699,0.0104,15,0
A04_P09_48m,A04,P09,48m,192,5952,0.41142857142856226,50,Silver IV,14,914,0.0052,15,0
A04_P10_1m,A04,P10,1m,4,24,0.39999999999999997,1,Unranked,79,79,0.2500,3,0
A04_P10_3m,A04,P10,3m,12,72,0.4000000000000002,2,Iron IV,91,191,0.0833,3,0
A04_P10_6m,A04,P10,6m,24,144,0.3999999999999995,3,Iron III,79,279,0.0417,3,0
A04_P10_12m,A04,P10,12m,48,288,0.399999999999999,5,Iron II,94,394,0.0208,3,0
A04_P10_24m,A04,P10,24m,96,576,0.4000000000000019,8,Bronze III,96,696,0.0104,3,0
A04_P10_48m,A04,P10,48m,192,1152,0.4000000000000038,15,Bronze I,98,898,0.0052,3,0
A04_P11_1m,A04,P11,1m,4,8,0.5,0,Unranked,32,32,0.2500,2,0
A04_P11_3m,A04,P11,3m,12,24,0.5,1,Iron III,75,275,0.0833,2,0
A04_P11_6m,A04,P11,6m,24,48,0.5,1,Iron I,84,484,0.0417,2,0
A04_P11_12m,A04,P11,12m,48,96,0.5,2,Bronze III,92,692,0.0208,2,0
A04_P11_24m,A04,P11,24m,96,192,0.5,3,Bronze I,96,896,0.0104,2,0
A04_P11_48m,A04,P11,48m,192,384,0.5,5,Silver II,98,1198,0.0052,2,0
A04_P12_1m,A04,P12,1m,4,8,0.5,0,Unranked,32,32,0.2500,2,0
A04_P12_3m,A04,P12,3m,12,24,0.5,1,Iron III,75,275,0.0833,2,0
A04_P12_6m,A04,P12,6m,24,48,0.5,1,Iron I,84,484,0.0417,2,0
A04_P12_12m,A04,P12,12m,48,96,0.5,2,Bronze III,92,692,0.0208,2,0
A04_P12_24m,A04,P12,24m,96,192,0.5,3,Bronze I,96,896,0.0104,2,0
A04_P12_48m,A04,P12,48m,192,384,0.5,5,Silver II,98,1198,0.0052,2,0
A04_P13_1m,A04,P13,1m,4,0,,0,Unranked,0,0,0.0000,1,0
A04_P13_3m,A04,P13,3m,12,0,,0,Unranked,0,0,0.0000,1,0
A04_P13_6m,A04,P13,6m,24,0,,0,Unranked,0,0,0.0000,1,0
A04_P13_12m,A04,P13,12m,48,0,,0,Unranked,0,0,0.0000,1,0
A04_P13_24m,A04,P13,24m,96,0,,0,Unranked,0,0,0.0000,1,0
A04_P13_48m,A04,P13,48m,192,0,,0,Unranked,0,0,0.0000,1,0
A04_P14_1m,A04,P14,1m,4,36,0.4285714285714285,1,Unranked,77,77,0.2500,3,0
A04_P14_3m,A04,P14,3m,12,108,0.4285714285714287,2,Iron III,43,243,0.0833,3,0
A04_P14_6m,A04,P14,6m,24,216,0.428571428571428,4,Iron II,55,355,0.0417,3,0
A04_P14_12m,A04,P14,12m,48,432,0.4285714285714292,7,Iron I,51,451,0.0208,3,0
A04_P14_24m,A04,P14,24m,96,864,0.4285714285714299,12,Bronze II,53,753,0.0104,3,0
A04_P14_48m,A04,P14,48m,192,1728,0.42857142857142344,19,Silver IV,55,955,0.0052,3,0
A04_P15_1m,A04,P15,1m,4,24,0.38730158730158726,1,Unranked,52,52,0.2500,3,0
A04_P15_3m,A04,P15,3m,12,72,0.3873015873015875,2,Iron IV,74,174,0.0833,3,0
A04_P15_6m,A04,P15,6m,24,144,0.38730158730158676,3,Iron III,69,269,0.0417,3,0
A04_P15_12m,A04,P15,12m,48,288,0.38730158730158665,5,Iron II,69,369,0.0208,3,0
A04_P15_24m,A04,P15,24m,96,576,0.3873015873015897,8,Bronze III,37,637,0.0104,3,0
A04_P15_48m,A04,P15,48m,192,1152,0.3873015873015892,14,Bronze I,39,839,0.0052,3,0
A04_P16_1m,A04,P16,1m,4,32,0.39999999999999997,1,Unranked,79,79,0.2500,4,0
A04_P16_3m,A04,P16,3m,12,96,0.4,2,Iron IV,91,191,0.0833,4,0
A04_P16_6m,A04,P16,6m,24,192,0.3999999999999993,4,Iron III,79,279,0.0417,4,0
A04_P16_12m,A04,P16,12m,48,384,0.39999999999999997,6,Iron II,94,394,0.0208,4,0
A04_P16_24m,A04,P16,24m,96,768,0.40000000000000285,10,Bronze III,96,696,0.0104,4,0
A04_P16_48m,A04,P16,48m,192,1536,0.39999999999999963,17,Bronze I,98,898,0.0052,4,0
A04_P17_1m,A04,P17,1m,4,24,0.35714285714285715,1,Unranked,19,19,0.2500,4,0
A04_P17_3m,A04,P17,3m,12,72,0.35714285714285726,2,Iron IV,28,128,0.0833,4,0
A04_P17_6m,A04,P17,6m,24,144,0.3571428571428567,3,Iron III,18,218,0.0417,4,0
A04_P17_12m,A04,P17,12m,48,288,0.35714285714285765,5,Iron II,10,310,0.0208,4,0
A04_P17_24m,A04,P17,24m,96,576,0.35714285714285776,8,Bronze IV,36,536,0.0104,4,0
A04_P17_48m,A04,P17,48m,192,1152,0.3571428571428537,14,Bronze II,37,737,0.0052,4,0
A04_P18_1m,A04,P18,1m,4,32,0.4226190476190475,1,Unranked,46,46,0.2500,4,0
A04_P18_3m,A04,P18,3m,12,96,0.4226190476190475,2,Iron III,13,213,0.0833,4,0
A04_P18_6m,A04,P18,6m,24,192,0.4226190476190478,3,Iron II,41,341,0.0417,4,0
A04_P18_12m,A04,P18,12m,48,384,0.4226190476190469,5,Iron I,64,464,0.0208,4,0
A04_P18_24m,A04,P18,24m,96,768,0.4226190476190504,9,Bronze II,16,716,0.0104,4,0
A04_P18_48m,A04,P18,48m,192,1536,0.42261904761904034,15,Silver IV,43,943,0.0052,4,0
A04_P19_1m,A04,P19,1m,4,60,0.4285714285714286,1,Unranked,77,77,0.2500,5,0
A04_P19_3m,A04,P19,3m,12,180,0.4285714285714282,4,Iron III,43,243,0.0833,5,0
A04_P19_6m,A04,P19,6m,24,360,0.4285714285714289,7,Iron II,55,355,0.0417,5,0
A04_P19_12m,A04,P19,12m,48,720,0.42857142857142977,11,Iron I,51,451,0.0208,5,0
A04_P19_24m,A04,P19,24m,96,1440,0.4285714285714249,18,Bronze II,53,753,0.0104,5,0
A04_P19_48m,A04,P19,48m,192,2880,0.42857142857143127,27,Silver IV,55,955,0.0052,5,0
A04_P20_1m,A04,P20,1m,4,24,0.3873015873015873,0,Unranked,52,52,0.2500,0,3
A04_P20_3m,A04,P20,3m,12,72,0.3873015873015876,0,Iron IV,74,174,0.0833,0,3
A04_P20_6m,A04,P20,6m,24,144,0.38730158730158687,0,Iron III,69,269,0.0417,0,3
A04_P20_12m,A04,P20,12m,48,288,0.3873015873015876,0,Iron II,69,369,0.0208,0,3
A04_P20_24m,A04,P20,24m,96,576,0.38730158730158615,0,Bronze III,37,637,0.0104,0,3
A04_P20_48m,A04,P20,48m,192,1152,0.38730158730159264,0,Bronze I,39,839,0.0052,0,3
A04_P21_1m,A04,P21,1m,4,24,0.38730158730158726,0,Unranked,52,52,0.2500,1,2
A04_P21_3m,A04,P21,3m,12,72,0.3873015873015875,0,Iron IV,74,174,0.0833,1,2
A04_P21_6m,A04,P21,6m,24,144,0.38730158730158676,0,Iron III,69,269,0.0417,1,2
A04_P21_12m,A04,P21,12m,48,288,0.38730158730158665,1,Iron II,69,369,0.0208,1,2
A04_P21_24m,A04,P21,24m,96,576,0.3873015873015897,1,Bronze III,37,637,0.0104,1,2
A04_P21_48m,A04,P21,48m,192,1152,0.3873015873015892,3,Bronze I,39,839,0.0052,1,2
A04_P22_1m,A04,P22,1m,4,28,0.37380952380952376,0,Unranked,39,39,0.2500,1,3
A04_P22_3m,A04,P22,3m,12,84,0.37380952380952404,0,Iron IV,53,153,0.0833,1,3
A04_P22_6m,A04,P22,6m,24,168,0.37380952380952337,0,Iron III,45,245,0.0417,1,3
A04_P22_12m,A04,P22,12m,48,336,0.3738095238095232,1,Iron II,43,343,0.0208,1,3
A04_P22_24m,A04,P22,24m,96,672,0.37380952380952603,1,Bronze IV,94,594,0.0104,1,3
A04_P22_48m,A04,P22,48m,192,1344,0.3738095238095243,3,Bronze II,96,796,0.0052,1,3
A04_P23_1m,A04,P23,1m,4,72,0.3830687830687832,1,Unranked,43,43,0.2500,6,3
A04_P23_3m,A04,P23,3m,12,216,0.3830687830687828,3,Iron IV,69,169,0.0833,6,3
A04_P23_6m,A04,P23,6m,24,432,0.3830687830687835,6,Iron III,65,265,0.0417,6,3
A04_P23_12m,A04,P23,12m,48,864,0.38306878306878567,9,Iron II,61,361,0.0208,6,3
A04_P23_24m,A04,P23,24m,96,1728,0.38306878306877484,15,Bronze III,18,618,0.0104,6,3
A04_P23_48m,A04,P23,48m,192,3456,0.3830687830687886,25,Bronze I,20,820,0.0052,6,3
A04_P24_1m,A04,P24,1m,4,4,0.5,0,Unranked,16,16,0.2500,2,0
A04_P24_3m,A04,P24,3m,12,12,0.5,0,Iron IV,38,138,0.0833,2,0
A04_P24_6m,A04,P24,6m,24,24,0.5,0,Iron III,42,242,0.0417,2,0
A04_P24_12m,A04,P24,12m,48,48,0.5,1,Iron II,46,346,0.0208,2,0
A04_P24_24m,A04,P24,24m,96,96,0.5,1,Iron I,48,448,0.0104,2,0
A04_P24_48m,A04,P24,48m,192,192,0.5,3,Bronze IV,99,599,0.0052,2,0
A04_P25_1m,A04,P25,1m,4,16,0.38095238095238093,0,Unranked,26,26,0.2500,3,0
A04_P25_3m,A04,P25,3m,12,48,0.38095238095238104,1,Iron IV,11,111,0.0833,3,0
A04_P25_6m,A04,P25,6m,24,96,0.3809523809523808,2,Iron IV,76,176,0.0417,3,0
A04_P25_12m,A04,P25,12m,48,192,0.38095238095238065,3,Iron III,38,238,0.0208,3,0
A04_P25_24m,A04,P25,24m,96,384,0.3809523809523817,6,Iron I,5,405,0.0104,3,0
A04_P25_48m,A04,P25,48m,192,768,0.38095238095238093,10,Bronze IV,40,540,0.0052,3,0
A04_P26_1m,A04,P26,1m,4,16,0.3333333333333333,0,Unranked,0,0,0.2500,4,0
A04_P26_3m,A04,P26,3m,12,48,0.33333333333333354,1,Unranked,89,89,0.0833,4,0
A04_P26_6m,A04,P26,6m,24,96,0.33333333333333287,2,Iron IV,72,172,0.0417,4,0
A04_P26_12m,A04,P26,12m,48,192,0.3333333333333342,3,Iron III,62,262,0.0208,4,0
A04_P26_24m,A04,P26,24m,96,384,0.3333333333333314,6,Iron I,64,464,0.0104,4,0
A04_P26_48m,A04,P26,48m,192,768,0.3333333333333371,10,Bronze III,65,665,0.0052,4,0
A04_P27_1m,A04,P27,1m,4,32,0.41904761904761895,1,Unranked,77,77,0.2500,3,0
A04_P27_3m,A04,P27,3m,12,96,0.4190476190476192,2,Iron III,26,226,0.0833,3,0
A04_P27_6m,A04,P27,6m,24,192,0.4190476190476185,4,Iron II,29,329,0.0417,3,0
A04_P27_12m,A04,P27,12m,48,384,0.4190476190476192,6,Iron I,32,432,0.0208,3,0
A04_P27_24m,A04,P27,24m,96,768,0.41904761904762017,11,Bronze II,34,734,0.0104,3,0
A04_P27_48m,A04,P27,48m,192,1536,0.41904761904761717,19,Silver IV,36,936,0.0052,3,0
A04_P28_1m,A04,P28,1m,4,8,0.4166666666666667,0,Unranked,11,11,0.2500,3,0
A04_P28_3m,A04,P28,3m,12,24,0.41666666666666663,1,Iron IV,22,122,0.0833,3,0
A04_P28_6m,A04,P28,6m,24,48,0.41666666666666663,1,Iron III,19,219,0.0417,3,0
A04_P28_12m,A04,P28,12m,48,96,0.41666666666666685,2,Iron II,18,318,0.0208,3,0
A04_P28_24m,A04,P28,24m,96,192,0.4166666666666662,3,Iron I,53,453,0.0104,3,0
A04_P28_48m,A04,P28,48m,192,384,0.41666666666666774,5,Bronze III,21,621,0.0052,3,0
A04_P29_1m,A04,P29,1m,4,24,0.39999999999999997,1,Unranked,79,79,0.2500,3,0
A04_P29_3m,A04,P29,3m,12,72,0.4000000000000002,2,Iron IV,91,191,0.0833,3,0
A04_P29_6m,A04,P29,6m,24,144,0.3999999999999995,3,Iron III,79,279,0.0417,3,0
A04_P29_12m,A04,P29,12m,48,288,0.399999999999999,5,Iron II,94,394,0.0208,3,0
A04_P29_24m,A04,P29,24m,96,576,0.4000000000000019,8,Bronze III,96,696,0.0104,3,0
A04_P29_48m,A04,P29,48m,192,1152,0.4000000000000038,14,Bronze I,98,898,0.0052,3,0
A04_P30_1m,A04,P30,1m,4,12,0.42857142857142855,0,Unranked,77,77,0.2500,1,0
A04_P30_3m,A04,P30,3m,12,36,0.4285714285714285,1,Iron III,43,243,0.0833,1,0
A04_P30_6m,A04,P30,6m,24,72,0.42857142857142866,1,Iron II,55,355,0.0417,1,0
A04_P30_12m,A04,P30,12m,48,144,0.42857142857142844,2,Iron I,51,451,0.0208,1,0
A04_P30_24m,A04,P30,24m,96,288,0.4285714285714285,4,Bronze II,53,753,0.0104,1,0
A04_P30_48m,A04,P30,48m,192,576,0.42857142857142955,7,Silver IV,55,955,0.0052,1,0
A04_P31_1m,A04,P31,1m,4,8,0.3333333333333333,0,Unranked,0,0,0.2500,2,0
A04_P31_3m,A04,P31,3m,12,24,0.3333333333333332,1,Unranked,89,89,0.0833,2,0
A04_P31_6m,A04,P31,6m,24,48,0.33333333333333354,1,Iron IV,72,172,0.0417,2,0
A04_P31_12m,A04,P31,12m,48,96,0.33333333333333287,2,Iron III,62,262,0.0208,2,0
A04_P31_24m,A04,P31,24m,96,192,0.33333333333333426,3,Iron I,64,464,0.0104,2,0
A04_P31_48m,A04,P31,48m,192,384,0.3333333333333314,5,Bronze III,65,665,0.0052,2,0
A04_P32_1m,A04,P32,1m,4,24,0.38730158730158726,1,Unranked,52,52,0.2500,3,0
A04_P32_3m,A04,P32,3m,12,72,0.3873015873015875,2,Iron IV,74,174,0.0833,3,0
A04_P32_6m,A04,P32,6m,24,144,0.38730158730158676,3,Iron III,69,269,0.0417,3,0
A04_P32_12m,A04,P32,12m,48,288,0.38730158730158665,5,Iron II,69,369,0.0208,3,0
A04_P32_24m,A04,P32,24m,96,576,0.3873015873015897,8,Bronze III,37,637,0.0104,3,0
A04_P32_48m,A04,P32,48m,192,1152,0.3873015873015892,14,Bronze I,39,839,0.0052,3,0
A04_P33_1m,A04,P33,1m,4,12,0.42857142857142855,0,Unranked,77,77,0.2500,1,0
A04_P33_3m,A04,P33,3m,12,36,0.4285714285714285,0,Iron III,43,243,0.0833,1,0
A04_P33_6m,A04,P33,6m,24,72,0.42857142857142866,1,Iron II,55,355,0.0417,1,0
A04_P33_12m,A04,P33,12m,48,144,0.42857142857142844,1,Iron I,51,451,0.0208,1,0
A04_P33_24m,A04,P33,24m,96,288,0.4285714285714285,2,Bronze II,53,753,0.0104,1,0
A04_P33_48m,A04,P33,48m,192,576,0.42857142857142955,4,Silver IV,55,955,0.0052,1,0
A04_P34_1m,A04,P34,1m,4,24,0.39999999999999997,1,Unranked,79,79,0.2500,3,0
A04_P34_3m,A04,P34,3m,12,72,0.4000000000000002,2,Iron IV,91,191,0.0833,3,0
A04_P34_6m,A04,P34,6m,24,144,0.3999999999999995,3,Iron III,79,279,0.0417,3,0
A04_P34_12m,A04,P34,12m,48,288,0.399999999999999,5,Iron II,94,394,0.0208,3,0
A04_P34_24m,A04,P34,24m,96,576,0.4000000000000019,8,Bronze III,96,696,0.0104,3,0
A04_P34_48m,A04,P34,48m,192,1152,0.4000000000000038,14,Bronze I,98,898,0.0052,3,0
A04_P35_1m,A04,P35,1m,4,12,0.4444444444444444,0,Unranked,21,21,0.2500,3,0
A04_P35_3m,A04,P35,3m,12,36,0.44444444444444464,1,Iron III,13,213,0.0833,3,0
A04_P35_6m,A04,P35,6m,24,72,0.44444444444444403,1,Iron II,80,380,0.0417,3,0
A04_P35_12m,A04,P35,12m,48,144,0.44444444444444525,2,Bronze IV,49,549,0.0208,3,0
A04_P35_24m,A04,P35,24m,96,288,0.44444444444444287,4,Bronze II,52,752,0.0104,3,0
A04_P35_48m,A04,P35,48m,192,576,0.4444444444444476,7,Silver III,20,1020,0.0052,3,0
A04_P36_1m,A04,P36,1m,4,72,0.416326530612245,2,Unranked,77,77,0.2500,7,0
A04_P36_3m,A04,P36,3m,12,216,0.4163265306122442,4,Iron III,21,221,0.0833,7,0
A04_P36_6m,A04,P36,6m,24,432,0.4163265306122445,7,Iron II,22,322,0.0417,7,0
A04_P36_12m,A04,P36,12m,48,864,0.4163265306122479,12,Iron I,27,427,0.0208,7,0
A04_P36_24m,A04,P36,24m,96,1728,0.41632653061224417,20,Bronze II,28,728,0.0104,7,0
A04_P36_48m,A04,P36,48m,192,3456,0.41632653061223474,32,Silver IV,31,931,0.0052,7,0
A04_P37_1m,A04,P37,1m,4,172,0.4114285714285711,4,Unranked,61,61,0.2500,20,0
A04_P37_3m,A04,P37,3m,12,516,0.4114285714285721,10,Iron III,5,205,0.0833,20,0
A04_P37_6m,A04,P37,6m,24,1032,0.4114285714285719,18,Iron II,14,314,0.0417,20,0
A04_P37_12m,A04,P37,12m,48,2064,0.4114285714285714,28,Iron I,27,427,0.0208,20,0
A04_P37_24m,A04,P37,24m,96,4128,0.4114285714285651,42,Bronze II,4,704,0.0104,20,0
A04_P37_48m,A04,P37,48m,192,8256,0.4114285714285684,61,Silver IV,16,916,0.0052,20,0
A04_P38_1m,A04,P38,1m,4,28,0.3738095238095238,1,Unranked,39,39,0.2500,4,0
A04_P38_3m,A04,P38,3m,12,84,0.37380952380952387,1,Iron IV,53,153,0.0833,4,0
A04_P38_6m,A04,P38,6m,24,168,0.3738095238095232,3,Iron III,45,245,0.0417,4,0
A04_P38_12m,A04,P38,12m,48,336,0.37380952380952426,5,Iron II,43,343,0.0208,4,0
A04_P38_24m,A04,P38,24m,96,672,0.3738095238095262,8,Bronze IV,94,594,0.0104,4,0
A04_P38_48m,A04,P38,48m,192,1344,0.37380952380951854,13,Bronze II,96,796,0.0052,4,0
A04_P39_1m,A04,P39,1m,4,96,0.4194139194139196,2,Unranked,51,51,0.2500,14,0
